Cc-CO1,32788877,31671144,840812,203548
Co-Poland-1,31361137,30009749,1061754,193303
Cdo-France-1,36250351,34819389,1138592,201727
Co-France-2,29810490,28612222,930255,182226
Cl-Russia-1,34064829,32426179,1330731,203499
Cg-Italy-1,38431769,36979038,1119514,233559
Cl-Russia-2,34465868,32781535,1363728,208820
Cc-CO2,35789492,34579937,916026,212189
Ca-Slovenia-1,38434936,36524424,1539450,242623
Ca-Russia-1,36613647,34622876,1644609,217107
Ch-France-1,31058092,29898617,900168,179521
Ch-Russia-1,35877156,34345612,1220185,206332
Ce-EL1,40299707,38465102,1450481,266835
Ca-MC1,32723175,31132771,1269557,205512
Cam-C12,33421645,31991641,1144449,213023
Co-France-1,39202836,37681141,1207291,217266
Cg-Russia-1,36528135,34929418,1306422,199252
Cam-L5,46307327,44276500,1596894,308868
Lm-A39,25105343,24292056,602748,159588
Lm-C5,27551287,26522827,787324,180556
Cs-ARM1,35245023,33590242,1362398,203327
Crh-Croatia-1,34331242,32761438,1252632,213681
Ct-VT2,31721355,30430730,1004358,190301
Ct-France-1,34814755,33192560,1320540,196907
Tph-Russia-1,31368301,30204820,906335,180505
Cp-Russia-1,37558253,35914680,1292226,236694
ACQ-12,25482182,24283684,957683,163566
Ct-VT1,34257939,32841197,1113497,209431
Cp-France-1,41818967,40152192,1296194,251901
CHL4-3T,32302200,30678185,1317963,200014
Cp-Slovenia-1,36588459,35133944,1150076,210976
BOR-2,36643885,34796895,1498165,224442
FTN-5,32307953,30660097,1359033,187552
Tph-Russia-2,32723008,31558899,894906,189504
GGA034,40238637,37839672,1989728,245791
SES-5,41759568,39601039,1746156,259104
HEI-7,37063053,35072680,1614568,238904
COR-3,35048651,33340724,1374331,219931
SGA047,31631742,30091473,1224861,210159
POLSKA-3,29782117,28157368,1323701,191416
